,Label,Serving Size,Calories,Fat,Cholesterol,Sodium,Carbs,Protein
320,MongolianSeafoodwithVegetables,8oz,120,3.1,5.7,1072.8,15.2,6.6
321,SeafoodCakes,2oz,130,2.8,74.2,377.9,11.9,14
322,CapeCodSubmarineSandwich,1each,383,15.7,49.6,701.5,41,19.8
323,CodFishPicodeGallo,6oz,156,4.7,63.1,157.6,4.6,22.6
324,GefilteFish,3oz,83,8.1,17.1,124.1,1.7,1.2
325,HawaiianStyleMahiMahi,4oz,182,5.8,106.6,509.4,3.3,27.9
326,ShrimpforNapaGrillAddon,2each,48,2.4,53.6,286.8,0.6,5.8
327,LoxDisplay,4oz,147,5,26.1,2353.9,3,21.3
328,CreoleStuffedTilapia,1each,201,4.9,0,703.2,17.5,21.7
329,HerbCrustedAcadianRedFish,1each,201,7.7,69.2,149.6,3.6,28.1
330,PesceSt.Pedro,1each,160,7.8,0,317.1,3.5,19
331,TeriyakiBBQPollock,1each,84,0.7,51.5,820,3.1,15.3
332,CajunTilapiawithLime,4oz,111,3.4,0,100.5,1.5,18.6
333,PankoCrustedCod,5oz,183,5.2,62.7,165.7,8.8,23.9
334,DijonCrustedTilapia,5oz,243,9,12.2,590.5,18.3,22.2
335,FlounderStuffedwithSpinach,7oz,199,9.6,55,200.1,5.2,23.6
336,ShrimpCake,2each,344,18.9,124.4,505.3,23.8,19.5
337,BBQCatfish,6oz,146,3.3,81.7,293.9,6.9,21.3
338,PadThaiNoodles,8oz,182,3.6,0,32.6,29.9,8.7
339,Saut�edShrimp&Scallops,6oz,189,11.7,74,312.7,6.7,14
340,SeafoodMac&Cheese,6oz,163,5.8,30.3,256.7,17.7,9.4
341,BroiledCodwithBruschetta,1each,151,4.3,59.1,280.5,4.6,22.8
342,BroiledSteelheadTroutwithLemonButter,1each,248,15.2,92.5,105,2.2,25.1
343,TilapiaDijonwithHerbs&Panko,1each,192,8,10.3,253.2,9.6,20.6
344,CurriedShrimp,4oz,255,18.2,195.4,765.2,4.7,16.8
345,TilapiaProvencal,1each,159,5.5,6.1,182.1,7.9,19.7
346,CrackerCrustedCatfish,4oz,297,14.3,90.6,325,19.8,21.1
347,CajunCatfish,4oz,204,13.1,81.6,361.6,0,20.9
348,BroiledSteelheadTrout&CucumberButter,1each,355,26.8,124.6,127.3,1.8,25.1
349,BayScallopProvencale,6oz,101,2.7,19.1,378.1,8.2,10.6
350,GrilledCatchoftheDayPlatter,8oz,780,10.4,19.5,54,149.3,26
351,FriedCatchoftheDay,8oz,43,0.8,19.5,27.3,0,8.6
352,Shrimp&BaconTacoFilling,2oz,87,5,39.1,266.7,3.5,7.1
353,SushiSesameNoodleRolls,1oz,137,5.7,0.2,862,14.6,6.4
